experiment_id,architecture,hidden1,hidden2,weight_decay,dropout_rate,pca_components,learning_rate,mean_accuracy,std_accuracy,macro_sensitivity,macro_specificity,macro_precision,macro_f1,weighted_sensitivity,weighted_specificity,weighted_precision,weighted_f1,per_class_sensitivity,per_class_specificity,per_class_precision,per_class_f1,total_epochs,training_time_s,model_file,confusion_matrix_file
147,2-layer-PCA10,64,16,0.2,0.7,10,0.001,0.30625,0.0480071609241788,0.38020833333333337,0.7777048319327731,0.26056307853182853,0.26460079073225623,0.30625,0.8045693277310925,0.19992596648846647,0.2091881597808322,"[0.625, 0.5625, 0.33333333333333337, 0.0]","[0.8161764705882353, 0.5625, 0.7321428571428572, 1.0]","[0.541025641025641, 0.315958815958816, 0.18526785714285715, 0.0]","[0.5078914141414141, 0.3214907697666318, 0.229020979020979, 0.0]",1299,12.895070791244507,model_h64-16_wd0.2_dr0.7_pca10.pt,model_h64-16_wd0.2_dr0.7_pca10_confusion_matrix.npy
148,2-layer-PCA10,64,16,0.3,0.5,10,0.001,0.35625,0.020728904939721248,0.353422619047619,0.7765142715740142,0.3332743025283348,0.27150896562004756,0.35625,0.7498070862960569,0.295977550130776,0.26233857733069915,"[0.20833333333333331, 0.4375, 0.625, 0.14285714285714285]","[0.9926470588235294, 0.7734375, 0.4553571428571429, 0.8846153846153846]","[0.45, 0.4145161290322581, 0.3685810810810811, 0.1]","[0.2532467532467533, 0.31367521367521367, 0.40146683673469385, 0.11764705882352941]",912,8.747779846191406,model_h64-16_wd0.3_dr0.5_pca10.pt,model_h64-16_wd0.3_dr0.5_pca10_confusion_matrix.npy
149,2-layer-PCA10,64,16,0.3,0.6,10,0.001,0.35625,0.08172935519138762,0.3292410714285714,0.7731534320458954,0.2091017818388508,0.23796548025051695,0.35625,0.7363637281835811,0.20672226480416134,0.248212401095663,"[0.3333333333333333, 0.21875, 0.10416666666666667, 0.6607142857142857]","[0.8382352941176471, 0.8828125, 0.9196428571428572, 0.4519230769230769]","[0.28846153846153844, 0.1590909090909091, 0.08928571428571429, 0.2995689655172414]","[0.2625, 0.18421052631578946, 0.09615384615384616, 0.4089975485324322]",934,8.630526304244995,model_h64-16_wd0.3_dr0.6_pca10.pt,model_h64-16_wd0.3_dr0.6_pca10_confusion_matrix.npy
150,2-layer-PCA10,64,16,0.3,0.7,10,0.001,0.3375,0.057282196186948006,0.37462797619047616,0.7759928490627019,0.3772408560584659,0.3117510977994094,0.3375,0.7664713962508081,0.29739083071431516,0.2642738693854685,"[0.4583333333333333, 0.53125, 0.31250000000000006, 0.19642857142857142]","[0.9779411764705882, 0.59375, 0.7053571428571428, 0.8269230769230769]","[0.8541666666666666, 0.31914575866188766, 0.2408234126984127, 0.09482758620689655]","[0.5666666666666667, 0.31222796811032105, 0.24020277967646386, 0.12790697674418605]",1256,12.378645181655884,model_h64-16_wd0.3_dr0.7_pca10.pt,model_h64-16_wd0.3_dr0.7_pca10_confusion_matrix.npy
151,2-layer-PCA10,64,16,0.5,0.5,10,0.001,0.37500000000000006,0.055901699437494755,0.36235119047619047,0.7756039915966386,0.26937485942420153,0.27951116278968846,0.375,0.7274159663865547,0.2468616452991453,0.2715439069004463,"[0.5416666666666666, 0.0625, 0.2916666666666667, 0.5535714285714286]","[0.8970588235294118, 0.9375, 0.7678571428571428, 0.5]","[0.5657894736842105, 0.05555555555555555, 0.17543859649122806, 0.28071581196581197]","[0.5, 0.058823529411764705, 0.21896383186705767, 0.3402572898799314]",1025,9.449360609054565,model_h64-16_wd0.5_dr0.5_pca10.pt,model_h64-16_wd0.5_dr0.5_pca10_confusion_matrix.npy
152,2-layer-PCA10,64,16,0.5,0.6,10,0.001,0.3625,0.02795084971874738,0.32514880952380953,0.7729287027310925,0.2668607211914194,0.25128059888982424,0.3625,0.7292148109243698,0.26290360477807423,0.27009346829071523,"[0.29166666666666663, 0.0625, 0.5, 0.4464285714285714]","[0.8897058823529412, 0.9609375, 0.6160714285714286, 0.625]","[0.4305555555555556, 0.07142857142857142, 0.2775201612903226, 0.28793859649122805]","[0.2708333333333333, 0.06666666666666667, 0.35065406976744184, 0.3169683257918552]",1105,10.672109127044678,model_h64-16_wd0.5_dr0.6_pca10.pt,model_h64-16_wd0.5_dr0.6_pca10_confusion_matrix.npy
153,2-layer-PCA10,64,16,0.5,0.7,10,0.001,0.35,0.05303300858899107,0.3779761904761905,0.7834796178086619,0.3123023873527906,0.274708140325148,0.35,0.7839184712346479,0.2818359575012801,0.25505068389978874,"[0.45833333333333337, 0.5, 0.25, 0.30357142857142855]","[0.9191176470588236, 0.578125, 0.8482142857142857, 0.7884615384615384]","[0.4642857142857143, 0.36200716845878134, 0.16458333333333333, 0.2583333333333333]","[0.42500000000000004, 0.2362082362082362, 0.18218954248366015, 0.2554347826086957]",1066,11.229264259338379,model_h64-16_wd0.5_dr0.7_pca10.pt,model_h64-16_wd0.5_dr0.7_pca10_confusion_matrix.npy
154,2-layer-PCA20,256,64,0.2,0.5,20,0.001,0.3625,0.04145780987944249,0.38355654761904767,0.7840805793471235,0.3196275946275946,0.27865592854477944,0.3625,0.7738223173884939,0.3304578754578754,0.25941124652820957,"[0.5, 0.34375, 0.45833333333333337, 0.23214285714285715]","[0.9191176470588236, 0.734375, 0.5982142857142857, 0.8846153846153846]","[0.4444444444444444, 0.13214285714285715, 0.16620879120879123, 0.5357142857142857]","[0.4606060606060606, 0.1763565891472868, 0.2426470588235294, 0.2350140056022409]",1161,14.490650415420532,model_h256-64_wd0.2_dr0.5_pca20.pt,model_h256-64_wd0.2_dr0.5_pca20_confusion_matrix.npy
155,2-layer-PCA20,256,64,0.2,0.6,20,0.001,0.36249999999999993,0.04145780987944252,0.35528273809523814,0.7820327650290886,0.26258355621977075,0.2792960147627797,0.3625,0.7656310601163543,0.2796474555921487,0.2974794774023449,"[0.375, 0.28125, 0.3541666666666667, 0.4107142857142857]","[0.8235294117647058, 0.84375, 0.7589285714285714, 0.701923076923077]","[0.15434782608695652, 0.2845394736842105, 0.2883807369101487, 0.32306618819776717]","[0.21120689655172414, 0.2363425925925926, 0.31684350132625994, 0.35279106858054227]",880,11.820717096328735,model_h256-64_wd0.2_dr0.6_pca20.pt,model_h256-64_wd0.2_dr0.6_pca20_confusion_matrix.npy
156,2-layer-PCA20,256,64,0.2,0.7,20,0.001,0.4,0.030618621784789732,0.4069940476190476,0.792531916612799,0.3512427182264139,0.33787922614255445,0.4,0.7701276664511958,0.34804862351058,0.33053008175691073,"[0.5416666666666666, 0.3125, 0.2916666666666667, 0.48214285714285715]","[0.8823529411764705, 0.8125, 0.8214285714285715, 0.6538461538461539]","[0.5462662337662338, 0.1442687747035573, 0.25595238095238093, 0.45848348348348344]","[0.5095884507649213, 0.19185059422750422, 0.2361111111111111, 0.41396674846668113]",865,10.712028980255127,model_h256-64_wd0.2_dr0.7_pca20.pt,model_h256-64_wd0.2_dr0.7_pca20_confusion_matrix.npy
